thumbDist, fingerDist, time
0.09254168,0.1071495,8.431885
0.09254168,0.1071495,8.448481
0.08959621,0.09943171,8.465141
0.08959621,0.09943171,8.481587
0.08446905,0.09909835,8.498219
0.08446905,0.09909835,8.514718
0.09701922,0.1053888,8.531265
0.09701922,0.1053888,8.547837
0.08909358,0.1053817,8.564438
0.08909358,0.1053817,8.581002
0.08381343,0.1098211,8.597589
0.08381343,0.1098211,8.614141
0.1043623,0.1106396,8.631426
0.1043623,0.1106396,8.647289
0.09487942,0.116964,8.663788
0.09487942,0.116964,8.680648
0.07661127,0.1150925,8.696929
0.07661127,0.1150925,8.713509
0.1082303,0.1111337,8.730413
0.1082303,0.1111337,8.746653
0.08580422,0.1164905,8.763622
0.08580422,0.1164905,8.779845
0.1066959,0.1238234,8.796497
0.1066959,0.1238234,8.812917
0.1121389,0.1256951,8.829504
0.1121389,0.1256951,8.846052
0.1173807,0.1304415,8.862604
0.1173807,0.1304415,8.879406
0.1256864,0.1437383,8.895738
0.1256864,0.1437383,8.912337
0.1241461,0.1429113,8.929379
0.1241461,0.1429113,8.947418
0.1199623,0.1498325,8.962146
0.1199623,0.1498325,8.979178
0.1359197,0.156502,8.995152
0.1359197,0.156502,9.011728
0.1302759,0.1514782,9.028749
0.1302759,0.1514782,9.045234
0.1350629,0.1566451,9.061721
0.1350629,0.1566451,9.077997
0.1295439,0.158249,9.094557
0.1295439,0.158249,9.111446
0.1367716,0.1593973,9.127887
0.1367716,0.1593973,9.144262
0.1375955,0.1498703,9.160835
0.1375955,0.1498703,9.177394
0.1342908,0.1458247,9.193937
0.1342908,0.1458247,9.210559
0.1194761,0.1276966,9.227083
0.1194761,0.1276966,9.243675
0.1114957,0.1136979,9.260206
0.1114957,0.1136979,9.276793
0.09549312,0.1174695,9.293489
0.09549312,0.1174695,9.309922
0.09281353,0.09976806,9.326476
0.09281353,0.09976806,9.343069
0.0881174,0.1083971,9.359686
0.0881174,0.1083971,9.376203
0.07872237,0.1057341,9.392748
0.08509988,0.1114152,9.409607
0.0918119,0.1055488,9.42635
0.0918119,0.1055488,9.442453
0.08565044,0.1085504,9.459198
0.08565044,0.1085504,9.475593
0.09772223,0.1047759,9.492298
0.09772223,0.1047759,9.508785
0.09382253,0.1015389,9.525331
0.09382253,0.1015389,9.541868
0.08398505,0.1056188,9.558404
0.08398505,0.1056188,9.574988
0.08561938,0.1060692,9.59162
0.08561938,0.1060692,9.608171
0.1031154,0.106733,9.624866
0.1031154,0.106733,9.641264
0.07968938,0.1071604,9.657807
0.07968938,0.1071604,9.674385
0.09039869,0.1171644,9.691242
0.09039869,0.1171644,9.707654
0.09040929,0.1139136,9.724461
0.09040929,0.1139136,9.74141
0.0971619,0.1109535,9.757322
0.0971619,0.1109535,9.773783
0.1075231,0.1141198,9.790573
0.1075231,0.1141198,9.806919
0.1094112,0.1284221,9.823462
0.1122078,0.1297392,9.840683
0.114186,0.1398744,9.857288
0.114186,0.1398744,9.873193
0.1153778,0.1518552,9.889734
0.1210639,0.1409039,9.906354
0.1169812,0.1569405,9.922852
0.1169812,0.1569405,9.939459
0.1234217,0.1442209,9.956334
0.1234217,0.1442209,9.972593
0.1291775,0.1510996,9.989194
0.1291775,0.1510996,10.00573
0.1222831,0.1520614,10.02685
0.1216011,0.1513006,10.03943
0.139724,0.1490843,10.05541
0.139724,0.1490843,10.07199
0.1286803,0.1506456,10.08861
0.1286803,0.1506456,10.10549
0.1294086,0.1533528,10.12204
0.1303602,0.1531838,10.1386
0.1286776,0.1528409,10.15537
0.1286776,0.1528409,10.1714
0.1352363,0.1513423,10.18799
0.1352363,0.1513423,10.20465
0.136197,0.159532,10.22108
0.136197,0.159532,10.23804
0.1334618,0.1505017,10.25472
0.1334618,0.1505017,10.27102
0.1300102,0.15532,10.28763
0.1300102,0.15532,10.30392
0.1307212,0.1461238,10.32051
0.1307212,0.1461238,10.33707
0.1288759,0.150852,10.35363
0.1288759,0.150852,10.37028
0.1241137,0.1496203,10.38678
0.127458,0.1452091,10.40335
0.1295809,0.147444,10.41986
0.1295809,0.147444,10.43647
0.1289342,0.1450568,10.45344
0.1289342,0.1450568,10.47042
0.1227512,0.1538439,10.48647
0.1227512,0.1538439,10.50271
0.125268,0.1476898,10.51954
0.125268,0.1476898,10.53589
